timestamp,cell_id,voltage,current,power
2025-06-19T03:26:33.012895,cell_1,0.836,239.4,0.196
2025-06-19T03:26:33.028480,cell_2,0.864,246.5,0.204
2025-06-19T03:26:33.047184,cell_3,0.864,300.5,0.252
2025-06-19T03:27:03.332159,cell_1,0.904,0.5,0.0
2025-06-19T03:27:03.350100,cell_2,0.92,0.6,0.0
2025-06-19T03:27:03.365901,cell_3,0.896,0.8,0.0
2025-06-19T03:27:33.649259,cell_1,0.832,232.9,0.186
2025-06-19T03:27:33.671457,cell_2,0.928,0.4,0.0
2025-06-19T03:27:33.686020,cell_3,0.916,1.1,0.0
2025-06-19T03:28:03.974086,cell_1,0.824,222.1,0.184
2025-06-19T03:28:03.987355,cell_2,0.816,243.8,0.204
2025-06-19T03:28:04.004034,cell_3,0.848,316.6,0.268
2025-06-19T03:28:34.291201,cell_1,0.828,222.2,0.18
2025-06-19T03:28:34.311389,cell_2,0.884,0.8,0.0
2025-06-19T03:28:34.331840,cell_3,0.828,0.7,0.0
2025-06-19T03:29:04.618385,cell_1,0.9,219.2,0.176
2025-06-19T03:29:04.632749,cell_2,0.824,231.4,0.21
2025-06-19T03:29:04.650516,cell_3,0.836,288.0,0.24
2025-06-19T03:29:34.935676,cell_1,0.884,0.4,0.0
2025-06-19T03:29:34.955208,cell_2,0.896,0.6,0.0
2025-06-19T03:29:34.969710,cell_3,0.88,0.8,0.0
2025-06-19T03:30:07.512267,cell_1,0.836,0.3,0.0
2025-06-19T03:30:07.529296,cell_2,0.832,0.3,0.0
2025-06-19T03:30:07.545431,cell_3,0.84,0.9,0.0
2025-06-19T03:30:40.091685,cell_1,0.884,0.6,0.23
2025-06-19T03:30:40.108569,cell_2,0.892,293.1,0.176
2025-06-19T03:30:40.127583,cell_3,0.828,311.4,0.25
2025-06-19T03:31:10.419229,cell_1,0.888,0.3,0.0
2025-06-19T03:31:10.434423,cell_2,0.868,0.5,0.0
2025-06-19T03:31:10.455823,cell_3,0.804,0.7,0.194
2025-06-19T03:31:40.747831,cell_1,0.872,0.8,0.22
2025-06-19T03:31:40.763251,cell_2,0.844,0.5,0.0
2025-06-19T03:31:40.781271,cell_3,0.844,0.8,0.308
2025-06-19T03:32:11.075885,cell_1,0.832,249.0,0.204
2025-06-19T03:32:11.103373,cell_2,0.872,0.4,0.0
2025-06-19T03:32:11.121914,cell_3,0.852,0.5,0.312
2025-06-19T03:32:41.414569,cell_1,0.884,0.5,0.0
2025-06-19T03:32:41.435577,cell_2,0.824,0.4,0.19
2025-06-19T03:32:41.450338,cell_3,0.884,0.8,0.308
2025-06-19T03:33:11.738383,cell_1,0.884,0.4,0.0
2025-06-19T03:33:11.752513,cell_2,0.86,208.3,0.18
2025-06-19T03:33:11.768770,cell_3,0.856,147.2,0.128
2025-06-19T03:33:42.055956,cell_1,0.872,0.2,0.0
2025-06-19T03:33:42.076457,cell_2,0.884,0.5,0.0
2025-06-19T03:33:42.092152,cell_3,0.876,0.9,0.0
2025-06-19T03:34:12.386530,cell_1,0.812,220.4,0.174
2025-06-19T03:34:12.402169,cell_2,0.86,231.3,0.18
2025-06-19T03:34:12.417103,cell_3,0.876,301.2,0.232
2025-06-19T03:34:42.715811,cell_1,0.912,0.5,0.0
2025-06-19T03:34:42.731175,cell_2,0.844,0.4,0.0
2025-06-19T03:34:42.746877,cell_3,0.852,0.6,0.0
2025-06-19T03:35:13.039128,cell_1,0.928,0.3,0.0
2025-06-19T03:35:13.059573,cell_2,0.82,239.6,0.2
2025-06-19T03:35:13.075712,cell_3,0.856,316.5,0.262
2025-06-19T03:35:45.634581,cell_1,0.824,240.1,0.196
2025-06-19T03:35:45.651720,cell_2,0.836,233.0,0.186
2025-06-19T03:35:45.668038,cell_3,0.828,318.6,0.242
2025-06-19T03:36:15.954021,cell_1,0.82,234.8,0.194
2025-06-19T03:36:15.977235,cell_2,0.856,0.6,0.0
2025-06-19T03:36:15.996378,cell_3,0.888,1.0,0.0
2025-06-19T03:36:46.290243,cell_1,0.864,0.6,0.0
2025-06-19T03:36:46.306351,cell_2,0.864,0.6,0.0
2025-06-19T03:36:46.326827,cell_3,0.868,311.8,0.262
2025-06-19T03:37:16.627500,cell_1,0.884,0.4,0.0
2025-06-19T03:37:16.642194,cell_2,0.864,0.5,0.0
2025-06-19T03:37:16.658875,cell_3,0.84,1.0,0.0
2025-06-19T03:37:46.943867,cell_1,0.824,259.0,0.226
2025-06-19T03:37:46.965880,cell_2,0.884,0.6,0.0
2025-06-19T03:37:46.980380,cell_3,0.876,284.6,0.232
2025-06-19T03:38:17.269132,cell_1,0.824,216.0,0.0
2025-06-19T03:38:17.288315,cell_2,0.868,0.4,0.0
2025-06-19T03:38:17.303628,cell_3,0.82,1.0,0.0
2025-06-19T03:38:47.586524,cell_1,0.804,0.5,0.0
2025-06-19T03:38:47.599961,cell_2,0.856,0.4,0.0
2025-06-19T03:38:47.615753,cell_3,0.836,108.3,0.0
2025-06-19T03:39:17.903852,cell_1,0.876,0.5,0.236
2025-06-19T03:39:17.918496,cell_2,0.864,0.6,0.0
2025-06-19T03:39:17.934565,cell_3,0.86,0.8,0.0
2025-06-19T03:39:48.219930,cell_1,0.848,282.7,0.21
2025-06-19T03:39:48.238826,cell_2,0.836,235.2,0.19
2025-06-19T03:39:48.254824,cell_3,0.836,322.5,0.256
2025-06-19T03:40:20.795235,cell_1,0.88,0.5,0.0
2025-06-19T03:40:20.810637,cell_2,0.88,0.5,0.0
2025-06-19T03:40:20.828371,cell_3,0.876,0.6,0.0
2025-06-19T03:40:51.121074,cell_1,0.876,0.4,0.0
2025-06-19T03:40:51.135589,cell_2,0.908,0.5,0.0
2025-06-19T03:40:51.151310,cell_3,0.896,171.9,0.0
2025-06-19T03:41:21.436171,cell_1,0.912,0.8,0.236
2025-06-19T03:41:21.450430,cell_2,0.856,0.6,0.0
2025-06-19T03:41:21.466077,cell_3,0.852,0.8,0.0
2025-06-19T03:41:51.754499,cell_1,0.884,0.4,0.0
2025-06-19T03:41:51.769642,cell_2,0.872,0.5,0.0
2025-06-19T03:41:51.785266,cell_3,0.872,0.8,0.0
2025-06-19T03:42:22.077865,cell_1,0.808,214.7,0.042
2025-06-19T03:42:22.103722,cell_2,0.884,88.6,0.24
